"week_date","month_num","season","title_clean","show_title","weekly_rank_num","weekly_hours_viewed_num","cumulative_weeks_in_top_10_num","type_clean","genre"
2023-12-17,12,winter,leave the world behind,Leave the World Behind,1,106200000,2,,
2023-12-17,12,winter,chicken run: dawn of the nugget,Chicken Run: Dawn of the Nugget,2,20300000,1,,
2023-12-17,12,winter,leo,Leo,3,16800000,4,,
2023-12-17,12,winter,family switch,Family Switch,4,16600000,3,,
2023-12-17,12,winter,the super mario bros. movie,The Super Mario Bros. Movie,5,13700000,3,,
2023-12-17,12,winter,underwater,Underwater,6,9200000,1,,
2023-12-17,12,winter,old,Old,7,10000000,1,,
2023-12-17,12,winter,christmas as usual,Christmas as Usual,8,7100000,2,,
2023-12-17,12,winter,dr. seuss' the grinch,Dr. Seuss' The Grinch,9,5700000,5,Movie,Comedies
2023-12-17,12,winter,dr. seuss' the grinch,Dr. Seuss' The Grinch,9,5700000,5,Movie,Children & Family Movies
2023-12-17,12,winter,holiday in the vineyards,Holiday in the Vineyards,10,6900000,1,,
2023-12-17,12,winter,blood vessel,Blood Vessel,1,8800000,2,,
2023-12-17,12,winter,stolen vacation,Stolen Vacation,2,3200000,2,,
2023-12-17,12,winter,dhak dhak,Dhak Dhak,3,3700000,1,,
2023-12-17,12,winter,the archies,The Archies,4,3100000,2,,
2023-12-17,12,winter,don't buy the seller,Don't Buy the Seller,5,2100000,1,,
2023-12-17,12,winter,familia,Familia,6,1800000,1,,
2023-12-17,12,winter,naga,NAGA,7,1900000,1,,
2023-12-17,12,winter,nowhere,Nowhere,8,1800000,9,,
2023-12-17,12,winter,women on the edge,Women on the Edge,9,1400000,3,,
2023-12-17,12,winter,japan,Japan,10,2200000,1,,
2023-12-17,12,winter,my life with the walter boys,My Life With the Walter Boys,1,97500000,2,,
2023-12-17,12,winter,the crown,The Crown,2,50900000,5,TV Show,TV Dramas
2023-12-17,12,winter,the crown,The Crown,2,50900000,5,TV Show,International TV Shows
2023-12-17,12,winter,the crown,The Crown,2,50900000,5,TV Show,British TV Shows
2023-12-17,12,winter,obliterated,Obliterated,3,35600000,3,,
2023-12-17,12,winter,world war ii: from the frontlines,World War II: From the Frontlines,4,21200000,2,,
2023-12-17,12,winter,squid game: the challenge,Squid Game: The Challenge,5,24900000,4,,
2023-12-17,12,winter,car masters: rust to riches,Car Masters: Rust to Riches,6,12900000,1,TV Show,Reality TV
2023-12-17,12,winter,bad surgeon: love under the knife,Bad Surgeon: Love Under the Knife,7,6100000,3,,
2023-12-17,12,winter,cocomelon lane,CoComelon Lane,8,7800000,4,,
2023-12-17,12,winter,young sheldon,Young Sheldon,9,11600000,4,,
2023-12-17,12,winter,school spirits,School Spirits,10,8900000,1,,
2023-12-17,12,winter,yu yu hakusho,Yu Yu Hakusho,1,32100000,1,,
2023-12-17,12,winter,my demon,My Demon,2,33600000,4,,
2023-12-17,12,winter,blood coast,Blood Coast,3,19900000,2,,
2023-12-17,12,winter,single�s inferno,Single�s Inferno,4,11900000,1,,
2023-12-17,12,winter,high tides,High Tides,5,19100000,2,,
2023-12-17,12,winter,true beauty,True Beauty,6,63500000,3,,
2023-12-17,12,winter,a nearly normal family,A Nearly Normal Family,7,12200000,4,,
2023-12-17,12,winter,if i were lu�sa sonza,If I Were Lu�sa Sonza,8,4000000,1,,
2023-12-17,12,winter,dubai bling,Dubai Bling,9,12600000,1,,
2023-12-17,12,winter,welcome to samdal-ri,Welcome to Samdal-ri,10,11000000,2,,
2023-12-10,12,winter,leave the world behind,Leave the World Behind,1,98700000,1,,
2023-12-10,12,winter,family switch,Family Switch,2,32900000,2,,
2023-12-10,12,winter,leo,Leo,3,25400000,3,,
2023-12-10,12,winter,the super mario bros. movie,The Super Mario Bros. Movie,4,20300000,2,,
2023-12-10,12,winter,catering christmas,Catering Christmas,5,12500000,2,,
2023-11-26,11,fall,the killer,The Killer,3,17500000,3,Movie,International Movies
