title_clean,show_title,type_clean,primary_genre,first_week_date,first_season,first_month_num,first_week_rank,first_week_hours_viewed,initial_rank_bucket,initial_hours_bucket,long_run_flag
2 hearts,2 Hearts,Movie,Dramas,2023-05-28,spring,5,2,19280000,top_3,medium,0
365 days,365 Days,Movie,Dramas,2022-05-01,spring,5,4,10040000,rank_4_7,medium,0
6 underground,6 Underground,Movie,Action & Adventure,2021-11-21,fall,11,9,7770000,rank_8_10,low,0
a bad moms christmas,A Bad Moms Christmas,Movie,Comedies,2022-12-25,winter,12,5,10890000,rank_4_7,medium,0
a beautiful life,A Beautiful Life,Movie,Dramas,2023-06-04,summer,6,3,16710000,top_3,medium,1
a classic horror story,A Classic Horror Story,Movie,Horror Movies,2021-07-18,summer,7,3,9090000,top_3,low,0
a perfect fit,A Perfect Fit,Movie,Comedies,2021-07-18,summer,7,6,3170000,rank_4_7,low,0
afterlife of the party,Afterlife of the Party,Movie,Comedies,2021-09-05,fall,9,3,26710000,top_3,medium,0
aftermath,Aftermath,Movie,Horror Movies,2021-08-08,summer,8,1,24200000,top_3,medium,0
alice in borderland,Alice in Borderland,TV Show,International TV Shows,2021-09-26,fall,9,8,10890000,rank_8_10,medium,1
all american,All American,TV Show,TV Dramas,2021-08-01,summer,8,2,43970000,top_3,medium,1
alone,Alone,TV Show,Reality TV,2022-07-10,summer,7,10,11440000,rank_8_10,medium,0
alrawabi school for girls,AlRawabi School for Girls,TV Show,International TV Shows,2021-08-15,summer,8,6,11620000,rank_4_7,medium,0
american assassin,American Assassin,Movie,Action & Adventure,2022-07-10,summer,7,5,13360000,rank_4_7,medium,0
ankahi kahaniya,Ankahi Kahaniya,Movie,Dramas,2021-09-26,fall,9,6,1260000,rank_4_7,low,0
another life,Another Life,TV Show,British TV Shows,2021-10-24,fall,10,9,15760000,rank_8_10,medium,0
army of the dead,Army of the Dead,Movie,Action & Adventure,2021-10-31,fall,10,7,5780000,rank_4_7,low,0
attack on titan,Attack on Titan,TV Show,Anime Series,2023-11-12,fall,11,9,4700000,rank_8_10,low,0
atypical,Atypical,TV Show,TV Comedies,2021-07-11,summer,7,6,20620000,rank_4_7,medium,0
bake squad,Bake Squad,TV Show,Reality TV,2021-08-22,summer,8,6,13220000,rank_4_7,medium,0
barbarians,Barbarians,TV Show,International TV Shows,2022-10-23,fall,10,5,22890000,rank_4_7,medium,0
barbie life in the dreamhouse,Barbie Life in the Dreamhouse,TV Show,Kids' TV,2023-07-30,summer,7,6,9100000,rank_4_7,low,0
bartkowiak,Bartkowiak,Movie,Action & Adventure,2021-08-01,summer,8,5,9210000,rank_4_7,low,0
beckett,Beckett,Movie,Action & Adventure,2021-08-15,summer,8,3,23580000,top_3,medium,0
better call saul,Better Call Saul,TV Show,Crime TV Shows,2022-04-10,spring,4,6,15170000,rank_4_7,medium,0
big mouth,Big Mouth,TV Show,TV Comedies,2021-11-07,fall,11,9,19570000,rank_8_10,medium,0
biohackers,Biohackers,TV Show,International TV Shows,2021-07-18,summer,7,10,7500000,rank_8_10,low,0
black beach,Black Beach,Movie,Action & Adventure,2022-03-13,spring,3,10,1600000,rank_8_10,low,0
black island,Black Island,Movie,International Movies,2021-08-22,summer,8,1,17330000,top_3,medium,0
black mirror,Black Mirror,TV Show,British TV Shows,2023-06-18,summer,6,2,58700000,top_3,high,1
bling empire,Bling Empire,TV Show,Reality TV,2022-05-15,spring,5,8,10750000,rank_8_10,medium,0
blood & water,Blood & Water,TV Show,International TV Shows,2021-10-03,fall,10,8,15870000,rank_8_10,medium,0
blood red sky,Blood Red Sky,Movie,Action & Adventure,2021-07-25,summer,7,1,35930000,top_3,medium,1
brand new cherry flavor,Brand New Cherry Flavor,TV Show,TV Dramas,2021-08-22,summer,8,8,11140000,rank_8_10,medium,0
bridgerton,Bridgerton,TV Show,Romantic TV Shows,2022-03-27,spring,3,1,225300000,top_3,high,1
budapest,Budapest,Movie,Comedies,2021-10-31,fall,10,9,1170000,rank_8_10,low,0
burlesque,Burlesque,Movie,Dramas,2023-03-12,spring,3,10,5540000,rank_8_10,low,0
capitani,Capitani,TV Show,Crime TV Shows,2022-07-17,summer,7,10,9480000,rank_8_10,low,0
car masters: rust to riches,Car Masters: Rust to Riches,TV Show,Reality TV,2021-08-08,summer,8,10,13930000,rank_8_10,medium,0
charlie's angels,Charlie's Angels,Movie,Action & Adventure,2022-10-23,fall,10,10,4920000,rank_8_10,low,0
cheer,Cheer,TV Show,Docuseries,2022-01-16,winter,1,5,29080000,rank_4_7,medium,0
city of god,City of God,Movie,Dramas,2023-03-26,spring,3,9,3050000,rank_8_10,low,0
clickbait,Clickbait,TV Show,Crime TV Shows,2021-08-29,summer,8,1,51280000,top_3,high,1
coach carter,Coach Carter,Movie,Dramas,2022-03-13,spring,3,10,5450000,rank_8_10,low,0
cobra kai,Cobra Kai,TV Show,TV Action & Adventure,2022-01-02,winter,1,1,133510000,top_3,high,1
cocaine cowboys: the kings of miami,Cocaine Cowboys: The Kings of Miami,TV Show,Crime TV Shows,2021-08-08,summer,8,5,18890000,rank_4_7,medium,0
cocomelon,CoComelon,TV Show,Kids' TV,2021-07-04,summer,7,9,11430000,rank_8_10,medium,1
collateral,Collateral,TV Show,British TV Shows,2022-09-04,fall,9,10,6100000,rank_8_10,low,0
